fragments_h,fragments,count,frequency,MW,CLogP,HBA,HBD,heavy,database,legend
CC(C)C(N)C(=O)O,*NC(C(=O)O)C(C)C,1,0.0256016385048643,117.078978592,0.0543,2,2,8,DiaNat-DB,DiaNat-DB = 1 (0.03%)
Cc1cccc(O)c1C(=O)NC(C=O)C(C)C,*C(=O)C(NC(=O)c1c(C)cc(*)cc1O)C(C)C,1,0.0256016385048643,235.120843404,1.6539199999999998,3,2,17,DiaNat-DB,DiaNat-DB = 1 (0.03%)
CC(C)C(N)C=O,*NC(C(*)=O)C(C)C,1,0.0256016385048643,101.084063972,0.1685999999999999,2,1,7,DiaNat-DB,DiaNat-DB = 1 (0.03%)
Cc1cccc(O)c1C(=O)NC(C(=O)O)C(C)C,*c1cc(C)c(C(=O)NC(C(=O)O)C(C)C)c(O)c1,1,0.0256016385048643,251.115758024,1.5396199999999998,3,3,18,DiaNat-DB,DiaNat-DB = 1 (0.03%)
Cc1cc(O)cc(O)c1C(=O)O,*Oc1cc(C)c(C(=O)O)c(O)c1,1,0.0256016385048643,168.042258736,1.1044199999999995,3,3,12,DiaNat-DB,DiaNat-DB = 1 (0.03%)
Cc1cccc(O)c1C(=O)O,*c1cc(C)c(C(=O)O)c(O)c1,1,0.0256016385048643,152.047344116,1.3988199999999995,2,2,11,DiaNat-DB,DiaNat-DB = 1 (0.03%)
Cc1cc(O)ccc1O,*Cc1cc(O)ccc1O,1,0.0256016385048643,124.052429496,1.4062199999999998,2,2,9,DiaNat-DB,DiaNat-DB = 1 (0.03%)
CC1(C)CCc2c(ccc3c2OCC3=O)O1,*C1Oc2c(ccc3c2CCC(C)(C)O3)C1=O,1,0.0256016385048643,218.094294308,2.3652999999999995,3,0,16,DiaNat-DB,DiaNat-DB = 1 (0.03%)
CCCCC/C=C/C(=O)NCC(C)C,*CCCCC/C=C/C(=O)NCC(C)C,1,0.0256016385048643,197.177964356,2.895100000000001,1,1,14,DiaNat-DB,DiaNat-DB = 1 (0.03%)
C/C=C\\CCC,*C/C=C\CCC*,1,0.0256016385048643,84.093900384,2.3626000000000005,0,0,6,DiaNat-DB,DiaNat-DB = 1 (0.03%)
CCC/C=C\\C=C\\C=O,*CCC/C=C\C=C\C(*)=O,1,0.0256016385048643,124.088815004,2.0978,1,0,9,DiaNat-DB,DiaNat-DB = 1 (0.03%)
CCC/C=C\\C=C\\C(=O)N1CCCCC1,*CCC/C=C\C=C\C(=O)N1CCCCC1,1,0.0256016385048643,207.162314292,2.9114000000000013,1,0,15,DiaNat-DB,DiaNat-DB = 1 (0.03%)
CCCCCCCC=O,*CCCCCCCC(*)=O,1,0.0256016385048643,128.120115132,2.5458000000000007,1,0,9,DiaNat-DB,DiaNat-DB = 1 (0.03%)
CC(=O)NCC(C)C,*CC(=O)NCC(C)C,1,0.0256016385048643,115.099714036,0.7785,1,1,8,DiaNat-DB,DiaNat-DB = 1 (0.03%)
CCCCc1cc(=O)c2ccccc2n1C,*CCCCc1cc(=O)c2ccccc2n1C,1,0.0256016385048643,215.131014164,2.881100000000001,2,0,16,DiaNat-DB,DiaNat-DB = 1 (0.03%)
CCCCC,*CCCCC,1,0.0256016385048643,72.093900384,2.1965000000000003,0,0,5,DiaNat-DB,DiaNat-DB = 1 (0.03%)
CC/C=C\\CC,*CC/C=C\CC,1,0.0256016385048643,84.093900384,2.3626000000000005,0,0,6,DiaNat-DB,DiaNat-DB = 1 (0.03%)
CCCCCC,*CCCCCC,1,0.0256016385048643,86.109550448,2.5866000000000007,0,0,6,DiaNat-DB,DiaNat-DB = 1 (0.03%)
CC(C)CN,*NCC(C)C,1,0.0256016385048643,73.08914935199999,0.6011000000000001,1,1,5,DiaNat-DB,DiaNat-DB = 1 (0.03%)
O=C[CH]Cc1ccc(O)c(O)c1,*[C](Cc1ccc(O)c(O)c1)C(*)=O,1,0.0256016385048643,165.055169148,1.0434899999999998,3,2,12,DiaNat-DB,DiaNat-DB = 1 (0.03%)
O=C(O)[CH]Cc1ccc(O)c(O)c1,*[C](Cc1ccc(O)c(O)c1)C(=O)O,1,0.0256016385048643,181.050083768,0.92919,3,3,13,DiaNat-DB,DiaNat-DB = 1 (0.03%)
