ID,SMILES_chiral,SMILES_no_chiral,Target_1,pIC50_1,Target_category,Dataset,pEC50,Target_2,pIC50_2
CHEMBL3675626,O=C1N(Cc2nc(C)c3c(n2)cccc3)C=2N(c3nc(n(Cc4ccccc4)c13)N1C[C@](N)CCC1)CCN=2,O=C1N(Cc2nc(C)c3c(n2)cccc3)C=2N(c3nc(n(Cc4ccccc4)c13)N1CC(N)CCC1)CCN=2,Dipeptidyl Peptidase IV (DPP-IV),7.4948502,Dipeptidyl Peptidase IV (DPP-IV),ChEMBL,,,
CHEMBL3675627,O=C1N(Cc2nc(C)c3c(n2)cccc3)C=2N(c3nc(n(CC4CC4)c13)N1C[C@](N)CCC1)CCN=2,O=C1N(Cc2nc(C)c3c(n2)cccc3)C=2N(c3nc(n(CC4CC4)c13)N1CC(N)CCC1)CCN=2,Dipeptidyl Peptidase IV (DPP-IV),8.0969105,Dipeptidyl Peptidase IV (DPP-IV),ChEMBL,,,
CHEMBL3675628,O(C)c1ccc(CN2C(=O)c3n(CC#CC)c(N4C[C@](N)CCC4)nc3N3C2=NCCC3)cc1,O(C)c1ccc(CN2C(=O)c3n(CC#CC)c(N4CC(N)CCC4)nc3N3C2=NCCC3)cc1,Dipeptidyl Peptidase IV (DPP-IV),7.4089355,Dipeptidyl Peptidase IV (DPP-IV),ChEMBL,,,
CHEMBL3675629,O=C1N=C2N(c3nc(n(CC#CC)c13)N1C[C@](N)CCC1)CCCN2,O=C1N=C2N(c3nc(n(CC#CC)c13)N1CC(N)CCC1)CCCN2,Dipeptidyl Peptidase IV (DPP-IV),5.2137456,Dipeptidyl Peptidase IV (DPP-IV),ChEMBL,,,
CHEMBL3675630,O=C1N(Cc2c3c(ccc2)cccc3)C=2N(c3nc(n(CC#CC)c13)N1C[C@](N)CCC1)CCCN=2,O=C1N(Cc2c3c(ccc2)cccc3)C=2N(c3nc(n(CC#CC)c13)N1CC(N)CCC1)CCCN=2,Dipeptidyl Peptidase IV (DPP-IV),7.3565474,Dipeptidyl Peptidase IV (DPP-IV),ChEMBL,,,
CHEMBL3675631,O=C1N(Cc2nc(C#N)ccn2)C=2N(c3nc(n(CC#CC)c13)N1C[C@](N)CCC1)CCN=2,O=C1N(Cc2nc(C#N)ccn2)C=2N(c3nc(n(CC#CC)c13)N1CC(N)CCC1)CCN=2,Dipeptidyl Peptidase IV (DPP-IV),7.9586072,Dipeptidyl Peptidase IV (DPP-IV),ChEMBL,,,
CHEMBL3675632,O=C1N(Cc2c(C#N)cccc2)C=2N(c3nc(n(CC#CC)c13)N1C[C@](N)CCC1)CCN=2,O=C1N(Cc2c(C#N)cccc2)C=2N(c3nc(n(CC#CC)c13)N1CC(N)CCC1)CCN=2,Dipeptidyl Peptidase IV (DPP-IV),8.0457573,Dipeptidyl Peptidase IV (DPP-IV),ChEMBL,,,
CHEMBL3675633,Fc1c(Cn2c(N3C[C@](N)CCC3)nc3N4C(N(Cc5nc(C)c6c(n5)cccc6)C(=O)c23)=NCC4)scc1,Fc1c(Cn2c(N3CC(N)CCC3)nc3N4C(N(Cc5nc(C)c6c(n5)cccc6)C(=O)c23)=NCC4)scc1,Dipeptidyl Peptidase IV (DPP-IV),7.5376019,Dipeptidyl Peptidase IV (DPP-IV),ChEMBL,,,
CHEMBL3675634,FC1(F)C(Cn2c(N3C[C@](N)CCC3)nc3N4C(N(Cc5nc(C)c6c(n5)cccc6)C(=O)c23)=NCC4)C1,FC1(F)C(Cn2c(N3CC(N)CCC3)nc3N4C(N(Cc5nc(C)c6c(n5)cccc6)C(=O)c23)=NCC4)C1,Dipeptidyl Peptidase IV (DPP-IV),7.8538718,Dipeptidyl Peptidase IV (DPP-IV),ChEMBL,,,
CHEMBL3675635,O=C1N(Cc2nc(C)c3c(n2)cccc3)C=2N(c3nc(n(CC4CCC4)c13)N1C[C@](N)CCC1)CCN=2,O=C1N(Cc2nc(C)c3c(n2)cccc3)C=2N(c3nc(n(CC4CCC4)c13)N1CC(N)CCC1)CCN=2,Dipeptidyl Peptidase IV (DPP-IV),7.5376019,Dipeptidyl Peptidase IV (DPP-IV),ChEMBL,,,
CHEMBL3675636,O=C1N(Cc2nc(C)c3c(n2)cccc3)C=2N(c3nc(n(Cc4c(C#N)cccc4)c13)N1C[C@](N)CCC1)CCN=2,O=C1N(Cc2nc(C)c3c(n2)cccc3)C=2N(c3nc(n(Cc4c(C#N)cccc4)c13)N1CC(N)CCC1)CCN=2,Dipeptidyl Peptidase IV (DPP-IV),7.0861859,Dipeptidyl Peptidase IV (DPP-IV),ChEMBL,,,
CHEMBL3675637,O=C1N(Cc2nc(C)c3c(n2)cccc3)C2=N[C@@](C)CN2c2nc(n(CC#CC)c12)N1C[C@](N)CCC1,O=C1N(Cc2nc(C)c3c(n2)cccc3)C2=NC(C)CN2c2nc(n(CC#CC)c12)N1CC(N)CCC1,Dipeptidyl Peptidase IV (DPP-IV),9.0,Dipeptidyl Peptidase IV (DPP-IV),ChEMBL,,,
CHEMBL3680628,O=C(OC(C)(C)C)NC1CN(c2n(CC#CC)c3C(=O)N(CC4=NC(=NCc5ccccc5)c5c(N4)cccc5)C(=O)N(C)c3n2)CCC1,O=C(OC(C)(C)C)NC1CN(c2n(CC#CC)c3C(=O)N(CC4=NC(=NCc5ccccc5)c5c(N4)cccc5)C(=O)N(C)c3n2)CCC1,Dipeptidyl Peptidase IV (DPP-IV),8.2218485,Dipeptidyl Peptidase IV (DPP-IV),ChEMBL,,,
CHEMBL3680629,O=C(OC(C)(C)C)N[C@]1CN(c2n(CC#CC)c3C(=O)N(Cc4c5c(cc(C#N)c4)cccc5)C(=O)N(C)c3n2)CCC1,O=C(OC(C)(C)C)NC1CN(c2n(CC#CC)c3C(=O)N(Cc4c5c(cc(C#N)c4)cccc5)C(=O)N(C)c3n2)CCC1,Dipeptidyl Peptidase IV (DPP-IV),8.2218485,Dipeptidyl Peptidase IV (DPP-IV),ChEMBL,,,
CHEMBL3680630,O=C(OC(C)(C)C)N[C@]1CN(c2n(CC#CC)c3C(=O)N(Cc4nc(-c5ccccc5)nc5c4cccc5)C(=O)N(C)c3n2)CCC1,O=C(OC(C)(C)C)NC1CN(c2n(CC#CC)c3C(=O)N(Cc4nc(-c5ccccc5)nc5c4cccc5)C(=O)N(C)c3n2)CCC1,Dipeptidyl Peptidase IV (DPP-IV),8.0457573,Dipeptidyl Peptidase IV (DPP-IV),ChEMBL,,,
