fragments_h,fragments,count,frequency,MW,CLogP,HBA,HBD,heavy
O[C@]1[CH]OC[C@](O)[C@@]1O,*[C@]1OC[C@](O)[C@@](O)[C@]1O,3,0.07680491551459294,130.026608672,-0.10814,4,3,9
CCC/C(C)=C/Cc1c(O)cc(C)cc1O,*CCC/C(C)=C/Cc1c(O)cc(C*)cc1O,3,0.07680491551459294,220.14632988,3.6951200000000033,2,2,16
CC(C)=CCC/C(C)=C/Cc1c(O)cc(C)cc1O,*Cc1cc(O)c(C/C=C(\C)CCC=C(C)C)c(O)c1,3,0.07680491551459294,260.177630008,4.641420000000005,2,2,19
N=C(N)NCCCC(N)C=O,*C(=O)C(N)CCCNC(=N)N,3,0.07680491551459294,158.116761068,-1.2241299999999995,3,4,11
COc1cc2occc(=O)c2c(O)c1O,*c1cc(=O)c2c(O)c(O)c(OC)cc2o1,3,0.07680491551459294,208.037173356,1.2127999999999997,5,2,15
CCc1ccc(O)c(O)c1,*CCc1ccc(O)c(O)c1,3,0.07680491551459294,138.06807956,1.6602,2,2,10
CC(=O)N1CCCCC1,*CC(=O)N1CCCCC1,3,0.07680491551459294,127.099714036,1.0188000000000001,1,0,9
C/C=C(\\C)C=O,*C(=O)/C(C)=C/C,3,0.07680491551459294,84.057514876,1.1515,1,0,6
NCCCCC(N)C=O,*NC(CCCCN)C(*)=O,3,0.07680491551459294,130.110613068,-0.35839999999999955,3,2,9
Oc1cc(O)c2ccc[o+]c2c1,*c1cc2c(O)cc(O)cc2[o+]c1*,3,0.07680491551459294,163.03897050409,2.1250999999999998,2,2,12
O[C@]1[CH]OC[C@@](O)[C@@]1O,*[C@]1OC[C@@](O)[C@@](O)[C@]1O,3,0.07680491551459294,130.026608672,-0.10814,4,3,9
NC(C=O)Cc1c[nH]cn1,*NC(Cc1c[nH]cn1)C(*)=O,3,0.07680491551459294,139.074561908,-0.5216000000000007,3,2,10
O=C(O)[C@]1O[CH][C@@](O)[C@](O)[C@@]1O,*[C@]1O[C@@](C(=O)O)[C@](O)[C@@](O)[C@]1O,3,0.07680491551459294,173.00861288,-0.49155,5,4,12
OC[C@]1O[C@@](O)[C@@](O)[C@](O)[C@@]1O,*O[C@]1O[C@@](CO)[C@](O)[C@@](O)[C@]1O,3,0.07680491551459294,175.02426294400001,-0.8836499999999998,6,5,12
COc1cc(/C=C/C(=O)COC(C)=O)ccc1O,*CC(=O)OCC(=O)/C=C/c1ccc(O)c(OC)c1,3,0.07680491551459294,250.084123548,1.5461999999999998,5,1,18
CC(=O)COC(C)=O,*CC(=O)COC(=O)C*,3,0.07680491551459294,116.047344116,0.13850000000000007,3,0,8
COc1cc(/C=C/C(=O)OCC(C)=O)ccc1O,*CC(=O)COC(=O)/C=C/c1ccc(O)c(OC)c1,3,0.07680491551459294,250.084123548,1.5461999999999998,5,1,18
CC(=O)OC[C@]1O[CH][C@](O)[C@@](O)[C@]1O,*CC(=O)OC[C@]1O[C@@](*)[C@](O)[C@@](O)[C@]1O,3,0.07680491551459294,201.039913008,-0.013050000000000159,6,3,14
